Lat,Lon,Boya,Pixel
37.760617,-0.8078,0.947,0.022000000087751284
37.761783,-0.78355,0.9444,0.021344444817966886
37.748233,-0.749617,0.9961,0.021177777606579993
37.710417,-0.778383,1.5416,0.02015555587907632
37.718,-0.839783,1.5136,0.025188888940546248
37.694517,-0.8104,1.7229,0.020644444558355544
37.666817,-0.809683,1.6724,0.021377778094675805
37.659833,-0.781967,1.4288,0.021022222108311124
37.6518,-0.728883,0.8263,0.020166666971312627
37.68735,-0.783783,1.5926,0.020988889038562775
37.8118,-0.784483,1.2762,0.19726666642559898
37.760617,-0.8078,1.3604,0.04806666655672921
37.761783,-0.78355,1.079,0.27505555583371055
37.748233,-0.749617,0.7239,0.11313333362340927
37.74045,-0.727117,0.325,0.056355555024411946
37.710417,-0.778383,0.8145,0.21047777599758571
37.718,-0.839783,1.6183,0.2721000015735626
37.694517,-0.8104,1.033,0.2835555540190803
