Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Chl
2021-06-14,CTD11,4169608.9781368254,700350.5509754587,0.0033008163,0.008502102,0.012622912,0.0019628766,0.0011267393,0.00027807325,0.00026591547,0.00010370769,0.0032718345,0.0088106105,0.012751546,0.0019046998,0.0011545471,0.00026908086,6.588753e-05,-2.87e-42,0.7269037116666667
2021-06-14,CTD12,4173437.93021035,695413.5305598581,0.0085863015,0.017096745,0.023900315,0.0050679357,0.0029840956,0.0008065081,0.0007837663,0.00030963327,0.008544729,0.017315844,0.023862481,0.0050502815,0.0032631112,0.00078120345,0.00578432,-0.0,0.7430151062499999
2021-07-14,CTD1,4187246.4763657423,695024.7116773892,0.005856075,0.014645898,0.029339902,0.0074112527,0.0048817494,0.001275931,0.0012413395,0.0004892449,0.0057817684,0.014979904,0.029293722,0.0073753553,0.0050668023,0.0012685253,0.037498914,-0.0,0.3902679166666667
2021-07-14,CTD2,4181518.346026066,693105.1561410306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4669484012499999
2021-07-14,CTD3,4181698.0921413857,695238.4758410116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62756503625
2021-07-14,CTD4,4180265.85759629,698264.0657476727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.831045865
2021-07-14,CTD6,4176008.900458722,695829.0091863506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02882817125
2021-07-14,CTD7,4176723.693900513,690396.7024300082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05233701
2021-07-14,CTD8,4174178.030118922,693047.7091175154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19192441625
2021-07-14,CTD10,4170388.237872792,695645.9552495586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873227385714286
