Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2018-02-20,CTD11,4169609,700351,0.0064161755,0.012481147,0.027506683,0.0074175894,0.0048877583,0.0013155323,0.0012919395,0.0005155175,0.0063717137,0.012580517,0.027382707,0.0073260926,0.005205262,0.0012941497,0.30547217,0.0
2018-02-20,CTD12,4173438,695414,0.006463378,0.012155112,0.025555914,0.0063310643,0.0040755556,0.0010913248,0.0010740423,0.0004306003,0.006426361,0.012231985,0.025478188,0.0062513216,0.004377972,0.0010761801,0.26826102,0.0
2018-03-07,CTD1,4187246,695025,0.014812678,0.025892034,0.049403727,0.013480904,0.008800872,0.0023066036,0.0022403891,0.00087021024,0.014802881,0.026223427,0.04886237,0.013398315,0.0092707565,0.0022235455,0.36750665,0.0
2018-03-07,CTD2,4181518,693105,0.008316111,0.015384839,0.029389147,0.0069537186,0.0044704773,0.0011910216,0.0011643479,0.0004626631,0.008274992,0.015494041,0.029250931,0.0069072363,0.004787544,0.001172135,0.23474772,0.0
2018-03-07,CTD3,4181698,695238,0.010044553,0.018230548,0.034951355,0.008980719,0.005847452,0.0015612615,0.0015283899,0.00060546555,0.009998594,0.018400228,0.034749225,0.008966138,0.0062282817,0.0015303899,0.28568494,0.0
2018-03-07,CTD4,4180266,698264,0.011845374,0.021592073,0.041279044,0.009942318,0.006412426,0.0016830873,0.0016405395,0.0006432858,0.011793356,0.021837264,0.040852915,0.009894321,0.0068052905,0.0016388422,0.2690121,0.0
2018-03-07,CTD5,4179450,700268,0.012606806,0.021537371,0.029576821,0.0041955467,0.0025040002,0.0006589123,0.0006333158,0.00025287428,0.012626503,0.021703431,0.029672341,0.0041552936,0.0026951344,0.00065810257,0.12517515,0.0
2018-03-07,CTD6,4176009,695829,0.007904429,0.014411399,0.027367527,0.006735012,0.004347808,0.0011630874,0.0011356405,0.00045135434,0.007868629,0.014508154,0.027252896,0.0067070066,0.0046592355,0.0011446424,0.23272517,0.0
2018-03-07,CTD7,4176724,690397,0.009627643,0.017421503,0.030940682,0.006511482,0.0041147545,0.0010886851,0.0010595842,0.00042127463,0.009597638,0.017559646,0.03074157,0.0064920904,0.0044185664,0.0010748777,0.20440528,0.0
2018-03-07,CTD8,4174178,693048,0.010434207,0.018931102,0.033588056,0.0068608695,0.004298667,0.0011376097,0.0011071524,0.00043975151,0.010406833,0.019095114,0.033351284,0.006860742,0.004614908,0.0011213726,0.20309494,0.0
2018-03-07,CTD9,4171106,693183,0.0138703445,0.023189705,0.045201432,0.01724257,0.012160793,0.0033549166,0.003280285,0.0012706874,0.013792853,0.02352022,0.045085184,0.016939411,0.012701007,0.0032322123,0.39982048,0.0
2018-03-07,CTD10,4170388,695646,0.007668441,0.014188867,0.02708317,0.006123896,0.0038947875,0.0010451595,0.001016067,0.0004045603,0.0076285074,0.014284887,0.026914435,0.006059992,0.0041832444,0.0010310673,0.23531199,0.0
2018-03-07,CTD11,4169609,700351,0.009284998,0.017219933,0.034029264,0.007871924,0.0050387466,0.0013351253,0.0013051309,0.0005183131,0.009239087,0.017411156,0.033787258,0.007837083,0.005393868,0.0013118499,0.26280215,0.0
2018-03-07,CTD12,4173438,695414,0.008549147,0.015159025,0.026747964,0.0063418034,0.004032244,0.0010777517,0.0010461725,0.0004163329,0.00851968,0.015250433,0.0266986,0.0063349823,0.004336121,0.0010606502,0.19664364,0.0
