Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2017-06-30,CTD7,4176724,690397,0.015620522,0.02897469,0.049589567,0.012488352,0.00872498,0.002303008,0.0022161372,0.00086235796,0.015478433,0.029032938,0.04930166,0.012471547,0.0088213505,0.0022336654,0.19362982,0.0
2017-06-30,CTD8,4174178,693048,0.015544436,0.027863108,0.044136923,0.011381512,0.007945119,0.0021288157,0.0020587526,0.0008094182,0.015392407,0.02784078,0.043947693,0.011362686,0.008055392,0.0020740547,0.17798384,0.0
2017-06-30,CTD9,4171106,693183,0.01737415,0.031947553,0.066038415,0.027664093,0.022510348,0.0057481606,0.0054684924,0.0020299293,0.017314794,0.032002777,0.06556202,0.02749999,0.021972314,0.005745626,0.39736295,0.0
2017-06-30,CTD10,4170388,695646,0.016212951,0.02544736,0.034855157,0.009431426,0.006147106,0.0017215412,0.0016538854,0.0006506884,0.016053272,0.025626628,0.03494395,0.009443622,0.0064286436,0.001663435,0.13168687,0.0
2017-06-30,CTD11,4169609,700351,0.006158276,0.015240009,0.029249106,0.008037224,0.005308934,0.0013714624,0.001330894,0.0005241655,0.006065561,0.015696362,0.029285159,0.007970876,0.005486475,0.0013674034,0.022641758,-1.1e-44
2017-06-30,CTD12,4173438,695414,0.023943719,0.034646485,0.05188566,0.018311739,0.01493464,0.0039782,0.0037601527,0.0014206395,0.023546835,0.03456938,0.052378267,0.018309807,0.014268324,0.0038563267,0.43390882,0.0
2018-02-20,CTD1,4187246,695025,0.0017460437,0.0049371338,0.013419033,0.007831495,0.0073253014,0.0022872174,0.0022305194,0.0008840262,0.0017511556,0.0050357766,0.013773837,0.008351025,0.007394005,0.0023239157,0.06641142,-1.1e-44
2018-02-20,CTD2,4181518,693105,0.0026083458,0.00784934,0.020496441,0.005941221,0.0035536075,0.0009572009,0.0009260119,0.0003636532,0.00259025,0.00817145,0.020687426,0.005807864,0.0039186515,0.0009223871,2.8491047e-05,-1.1e-44
2018-02-20,CTD3,4181698,695238,0.0023730649,0.0068229195,0.016742269,0.0037688368,0.0022218195,0.0005522,0.0005336227,0.00021003469,0.0023644615,0.007059262,0.01685444,0.0035809018,0.0022568996,0.0005422959,2.84685e-05,0.0
2018-02-20,CTD4,4180266,698264,0.0056851567,0.013130581,0.024165383,0.0062924526,0.0042041247,0.0010923204,0.0010663238,0.00042539075,0.0056167217,0.013228299,0.024162618,0.0062726773,0.0043602204,0.0010910472,0.05167886,0.0
2018-02-20,CTD5,4179450,700268,0.006293361,0.013489043,0.017532423,0.0029630198,0.0018283528,0.00047899302,0.00046598463,0.00018430909,0.0062426473,0.013682857,0.017509911,0.0029179621,0.0019061104,0.00047392328,0.029100489,0.0
2018-02-20,CTD6,4176009,695829,0.0072649,0.015265851,0.026353246,0.007218603,0.005234439,0.0014129626,0.0013832777,0.0005508914,0.007193107,0.015263408,0.02635768,0.0072163045,0.0053548864,0.0014082539,0.1734304,0.0
2018-02-20,CTD7,4176724,690397,0.0050404635,0.013995865,0.030633157,0.0074479464,0.004710347,0.0012129562,0.001174672,0.00046247948,0.0049593393,0.014479059,0.030484818,0.0073580802,0.0049352916,0.0012026648,0.0022040058,0.0
2018-02-20,CTD8,4174178,693048,0.0025714713,0.008139982,0.018105524,0.0039509227,0.002375032,0.0005948079,0.00057190144,0.0002250975,0.002559501,0.008551825,0.018153017,0.0038099189,0.0024248336,0.00058463507,2.7586624e-05,0.0
